ID Transacao,Item,Quantidade,Preco Unitario,Gasto Total,Metodo Pagamento,Localidade,Data Transacao
TXN_7640952,Bolo,4,3.0,12.0,Carteira Digital,Entrega,ERRO
TXN_1736287,,5,2.0,10.0,Carteira Digital,,2023-06-02
TXN_8927252,Nao Sabemos,2,1.0,ERRO,Cartao de Credito,ERRO,2023-11-06
TXN_9677376,Smoothie,4,4.0,16.0,,Loja,2023-08-15
TXN_7710508,Nao Sabemos,5,1.0,5.0,Dinheiro,,ERRO
TXN_8853997,Smoothie,2,4.0,8.0,Carteira Digital,Entrega,2023-10-09
TXN_9130559,Sanduiche,1,4.0,4.0,Cartao de Credito,Nao Sabemos,2023-05-28
TXN_6855453,Nao Sabemos,4,3.0,12.0,,Loja,2023-07-17
TXN_1080432,Salada,2,5.0,10.0,Cartao de Credito,Loja,2023-04-29
TXN_2655815,Smoothie,4,4.0,16.0,,Entrega,2023-06-08
TXN_6688524,Cafe,4,2.0,8.0,ERRO,,2023-06-29
TXN_2083138,Smoothie,3,4.0,12.0,,Loja,2023-04-17
TXN_2427584,Sanduiche,4,4.0,16.0,,Entrega,2023-12-22
TXN_6650263,Cha,2,1.5,Nao Sabemos,,Entrega,2023-01-10
TXN_9620080,Suco,4,3.0,12.0,,Entrega,2023-10-02
TXN_1491578,Cookie,2,1.0,2.0,,,2023-02-23
TXN_5455792,Salada,3,5.0,15.0,Dinheiro,,2023-03-22
TXN_8078640,Suco,4,3.0,12.0,Carteira Digital,Loja,2023-11-03
TXN_9499313,Suco,5,3.0,15.0,,,2023-03-02
TXN_8201146,Suco,5,3.0,15.0,Dinheiro,,2023-06-26
TXN_8230936,Bolo,3,3.0,9.0,,ERRO,2023-05-02
TXN_7742742,Bolo,5,3.0,15.0,,Entrega,2023-09-05
TXN_6342161,Salada,5,5.0,25.0,ERRO,Entrega,2023-01-08
TXN_8914892,Nao Sabemos,5,5.0,25.0,Carteira Digital,,2023-03-15
TXN_3363746,Smoothie,3,4.0,12.0,Cartao de Credito,,2023-11-25
TXN_8614868,Smoothie,5,4.0,20.0,Carteira Digital,Entrega,2023-12-05
TXN_5522862,Cookie,ERRO,1.0,2.0,Cartao de Credito,Entrega,2023-03-19
TXN_3578141,Bolo,5,,15.0,,Entrega,2023-06-27
TXN_2080895,Bolo,Nao Sabemos,3.0,3.0,Carteira Digital,Loja,2023-04-19
TXN_6421134,Sanduiche,4,4.0,16.0,Dinheiro,Entrega,2023-11-03
TXN_8813311,Suco,5,3.0,15.0,,Loja,2023-10-07
TXN_9023317,Salada,1,5.0,5.0,,,2023-09-30
TXN_8051289,,1,3.0,3.0,,Loja,2023-10-09
TXN_2537617,Sanduiche,1,4.0,4.0,Dinheiro,,2023-05-27
TXN_9099694,Nao Sabemos,3,5.0,15.0,,Entrega,2023-11-18
TXN_9230615,Smoothie,4,4.0,16.0,Carteira Digital,,2023-06-01
TXN_4987129,Sanduiche,3,,,,Loja,2023-10-20
TXN_8501819,Suco,,3.0,6.0,Dinheiro,,2023-03-30
TXN_3068204,Cookie,1,1.0,1.0,Cartao de Credito,Entrega,2023-10-03
TXN_8427104,Salada,2,ERRO,10.0,,Loja,2023-10-27
TXN_8471743,ERRO,5,3.0,15.0,Carteira Digital,Loja,2023-04-06
TXN_2621580,Cha,2,1.5,3.0,Dinheiro,Loja,2023-03-22
TXN_4726376,Bolo,2,3.0,6.0,Cartao de Credito,Loja,2023-01-31
TXN_6044979,,1,1.0,1.0,Dinheiro,Loja,2023-12-08
TXN_4238417,Salada,2,5.0,10.0,,ERRO,2023-06-19
TXN_1900620,Smoothie,2,4.0,8.0,Cartao de Credito,ERRO,2023-12-14
TXN_6420335,Cafe,1,2.0,2.0,Dinheiro,Entrega,2023-07-16
TXN_3858209,Sanduiche,4,4.0,16.0,Dinheiro,,2023-02-22
TXN_2091733,Salada,1,5.0,5.0,,Loja,
TXN_8735480,Cha,5,1.5,7.5,Dinheiro,,2023-06-02
TXN_3829165,Suco,4,3.0,12.0,Dinheiro,Loja,2023-06-15
TXN_3748616,Cafe,2,2.0,4.0,Cartao de Credito,Loja,2023-12-09
TXN_1993289,Sanduiche,2,4.0,8.0,,Loja,2023-04-18
TXN_2123367,Cookie,2,1.0,2.0,,,2023-11-07
TXN_5266394,Bolo,3,3.0,9.0,Dinheiro,Loja,2023-10-28
TXN_5107946,Bolo,4,3.0,12.0,Cartao de Credito,,2023-12-22
TXN_8035512,Cha,3,,4.5,Dinheiro,Nao Sabemos,2023-10-29
TXN_8718498,Bolo,5,3.0,15.0,Cartao de Credito,ERRO,2023-04-30
TXN_3955361,Cookie,5,1.0,5.0,,Entrega,2023-04-02
TXN_9487821,ERRO,1,5.0,5.0,Carteira Digital,Entrega,2023-05-24
TXN_4132730,,5,1.0,5.0,,Loja,2023-03-12
TXN_8976658,Cha,2,1.5,3.0,Cartao de Credito,Loja,2023-08-16
TXN_5455936,Nao Sabemos,5,3.0,15.0,,Loja,2023-10-28
TXN_2725602,Suco,5,3.0,15.0,Cartao de Credito,,2023-09-10
TXN_3011323,Cafe,3,2.0,6.0,Cartao de Credito,,2023-03-07
TXN_6289610,Suco,3,3.0,Nao Sabemos,Dinheiro,Entrega,2023-08-07
TXN_8268061,Salada,3,5.0,15.0,ERRO,Entrega,2023-08-20
TXN_5220895,Salada,5,5.0,25.0,Dinheiro,Loja,2023-06-10
TXN_3085509,Cafe,4,2.0,8.0,Carteira Digital,Loja,2023-04-15
TXN_9999113,Suco,4,3.0,12.0,Dinheiro,Entrega,2023-05-27
TXN_8779771,Cafe,4,2.0,8.0,Dinheiro,Loja,2023-07-25
TXN_9517146,,5,5.0,25.0,Dinheiro,Entrega,2023-10-30
TXN_1621920,Salada,3,5.0,15.0,,Entrega,2023-10-28
TXN_3808639,Suco,2,3.0,6.0,Carteira Digital,Entrega,2023-12-15
TXN_7028009,Bolo,4,3.0,12.0,,Entrega,ERRO
TXN_7447872,Suco,2,,6.0,,,
TXN_6955416,Salada,4,5.0,20.0,ERRO,Loja,2023-02-25
TXN_3775339,Cookie,3,1.0,3.0,Cartao de Credito,Nao Sabemos,2023-04-03
TXN_9547091,Cookie,3,1.0,3.0,Cartao de Credito,,2023-10-08
TXN_4358673,Cookie,5,1.0,5.0,Carteira Digital,Entrega,2023-12-28
TXN_4174591,Cha,4,1.5,6.0,Carteira Digital,,2023-08-30
TXN_3398520,Sanduiche,1,4.0,4.0,,Loja,2023-02-03
TXN_6171384,Smoothie,2,4.0,8.0,Cartao de Credito,,2023-09-12
TXN_2530938,Smoothie,5,4.0,20.0,,Entrega,2023-04-27
TXN_3314971,Suco,3,3.0,9.0,Carteira Digital,,2023-05-04
TXN_3092382,Cafe,5,2.0,10.0,Carteira Digital,,2023-02-21
TXN_1001832,Salada,2,5.0,10.0,Dinheiro,Entrega,Nao Sabemos
TXN_1535311,Suco,3,3.0,9.0,Dinheiro,,2023-03-16
TXN_2148617,Suco,ERRO,3.0,9.0,Carteira Digital,Nao Sabemos,2023-01-10
TXN_4633784,ERRO,5,,15.0,,Loja,2023-02-06
TXN_4368416,Salada,2,5.0,10.0,Cartao de Credito,Entrega,2023-02-24
TXN_9790731,Bolo,2,3.0,6.0,Nao Sabemos,,2023-06-02
TXN_9339456,Cafe,3,2.0,6.0,,Entrega,2023-03-29
TXN_5179020,Bolo,2,3.0,6.0,,Entrega,2023-06-18
TXN_6258471,Cafe,5,2.0,10.0,Carteira Digital,Loja,2023-09-23
TXN_7945375,Suco,3,3.0,9.0,,,2023-01-14
TXN_4685453,Cha,4,1.5,6.0,Dinheiro,Loja,2023-09-14
TXN_9646452,Suco,5,3.0,15.0,Cartao de Credito,,2023-09-16
TXN_9096052,Smoothie,4,4.0,16.0,Cartao de Credito,Entrega,2023-12-28
TXN_5916991,Suco,2,3.0,6.0,Carteira Digital,Entrega,2023-02-06
TXN_3407169,Sanduiche,2,4.0,8.0,Dinheiro,Loja,2023-03-11
TXN_2277042,Cha,1,1.5,1.5,Dinheiro,,2023-04-08
TXN_9273729,Cha,1,1.5,1.5,,,2023-12-19
TXN_2181545,Suco,4,3.0,12.0,Cartao de Credito,Entrega,2023-07-14
TXN_1150033,Suco,5,3.0,15.0,Dinheiro,Loja,2023-04-18
TXN_1443912,Suco,2,3.0,6.0,,,2023-06-08
TXN_8700451,Cha,5,1.5,7.5,Cartao de Credito,Entrega,2023-12-12
TXN_6380550,Cafe,5,2.0,10.0,Dinheiro,Loja,2023-01-05
TXN_4885518,Salada,3,5.0,15.0,Cartao de Credito,Loja,2023-06-10
TXN_3972167,Sanduiche,5,4.0,20.0,,Loja,2023-01-23
TXN_4878378,Cha,1,1.5,1.5,Cartao de Credito,,2023-02-20
TXN_2484241,Bolo,3,Nao Sabemos,9.0,Carteira Digital,,2023-07-19
TXN_2368126,Bolo,5,3.0,15.0,,Loja,2023-12-06
TXN_7943008,Cafe,1,2.0,2.0,Cartao de Credito,,ERRO
TXN_8495063,Suco,1,3.0,Nao Sabemos,Dinheiro,,2023-05-31
TXN_4811133,Salada,2,5.0,10.0,Dinheiro,,2023-08-11
TXN_8729570,Cha,5,1.5,7.5,Nao Sabemos,Loja,2023-09-03
TXN_7623634,Bolo,2,3.0,,Cartao de Credito,Loja,2023-07-11
TXN_9336980,Salada,4,Nao Sabemos,20.0,Dinheiro,Loja,2023-06-06
TXN_3424331,Bolo,4,3.0,12.0,,,2023-01-18
TXN_5072031,Bolo,2,3.0,6.0,Dinheiro,Entrega,2023-03-23
TXN_8687151,Salada,5,5.0,25.0,Dinheiro,,2023-06-10
TXN_4031509,,4,,16.0,Cartao de Credito,Entrega,2023-01-04
TXN_5265095,Cafe,1,2.0,2.0,ERRO,,2023-06-23
TXN_6541415,Nao Sabemos,Nao Sabemos,3.0,12.0,Dinheiro,Loja,2023-11-25
TXN_4108138,Cafe,5,2.0,10.0,Dinheiro,,2023-08-03
TXN_1909796,Smoothie,2,4.0,8.0,,Entrega,2023-07-12
TXN_1928241,Cafe,3,2.0,6.0,Dinheiro,Loja,2023-04-30
TXN_4283157,Salada,5,5.0,25.0,Carteira Digital,Loja,2023-11-25
TXN_8013032,Cafe,2,2.0,4.0,Cartao de Credito,,2023-03-07
TXN_8301424,Suco,2,3.0,6.0,,ERRO,2023-06-27
TXN_1093800,Sanduiche,3,4.0,12.0,Dinheiro,Entrega,
TXN_7965998,Suco,1,Nao Sabemos,3.0,Cartao de Credito,Loja,2023-11-02
TXN_9238666,Cookie,1,Nao Sabemos,1.0,ERRO,Entrega,2023-07-31
TXN_1631695,Cha,2,1.5,3.0,,Loja,2023-09-19
TXN_1435086,Bolo,5,,15.0,,ERRO,2023-02-09
TXN_3226832,Nao Sabemos,5,4.0,20.0,Dinheiro,Nao Sabemos,2023-09-04
TXN_1648671,Sanduiche,3,4.0,12.0,Dinheiro,Entrega,2023-05-21
TXN_4062737,Bolo,3,3.0,9.0,Dinheiro,Loja,2023-07-02
TXN_3494565,,2,4.0,8.0,ERRO,,2023-07-10
TXN_9249507,Cookie,4,1.0,4.0,Cartao de Credito,Loja,2023-11-21
TXN_4689500,Sanduiche,4,4.0,16.0,,,2023-12-02
TXN_8989148,Cha,2,1.5,,,,2023-11-25
TXN_8316826,Cafe,3,2.0,6.0,,Loja,2023-04-17
TXN_9836934,Cookie,3,1.0,3.0,Carteira Digital,Loja,2023-03-13
TXN_8005489,Bolo,3,3.0,9.0,,Loja,2023-08-12
TXN_6463132,Cookie,5,1.0,5.0,Cartao de Credito,Entrega,
TXN_3925836,Cookie,3,1.0,3.0,Carteira Digital,Loja,2023-02-16
TXN_1896955,Salada,ERRO,5.0,25.0,,Loja,2023-09-23
TXN_5075974,Smoothie,ERRO,4.0,16.0,Carteira Digital,,2023-04-11
TXN_3978874,Smoothie,5,4.0,20.0,Cartao de Credito,Loja,2023-03-13
TXN_8955912,Sanduiche,1,4.0,4.0,,,2023-11-07
TXN_1136554,Smoothie,3,4.0,12.0,Nao Sabemos,Entrega,2023-03-26
TXN_8007337,Bolo,2,3.0,6.0,Carteira Digital,Entrega,2023-11-01
TXN_8129834,Salada,1,5.0,5.0,Dinheiro,,2023-07-22
TXN_3831848,Nao Sabemos,1,4.0,4.0,Carteira Digital,Entrega,2023-11-03
TXN_5365809,Bolo,3,3.0,9.0,Dinheiro,Loja,2023-09-14
TXN_8166407,Smoothie,2,,8.0,,,2023-07-26
TXN_6629480,Smoothie,5,4.0,20.0,Cartao de Credito,Loja,2023-02-28
TXN_3833797,Cafe,4,2.0,8.0,Nao Sabemos,Loja,2023-01-27
TXN_2643815,Cookie,Nao Sabemos,1.0,3.0,ERRO,,2023-12-06
TXN_2996519,Bolo,5,3.0,15.0,Dinheiro,,2023-01-19
TXN_8810894,Smoothie,1,4.0,4.0,,,2023-02-20
TXN_7412722,Suco,4,3.0,12.0,Dinheiro,Loja,2023-04-07
TXN_3937509,Smoothie,2,4.0,8.0,,Loja,2023-03-20
TXN_6000201,Cookie,3,1.0,3.0,Dinheiro,Entrega,2023-02-16
TXN_1714274,Cookie,4,1.0,4.0,,Loja,2023-12-27
TXN_3800182,Cha,2,ERRO,3.0,Dinheiro,Loja,2023-10-26
TXN_5115080,,5,3.0,15.0,Cartao de Credito,,2023-02-18
TXN_9788956,Suco,ERRO,3.0,12.0,ERRO,,2023-04-11
TXN_6311602,Suco,3,3.0,9.0,Cartao de Credito,,2023-05-15
TXN_2950680,Cafe,2,2.0,4.0,Cartao de Credito,Entrega,2023-12-10
TXN_6749847,Bolo,2,3.0,6.0,Cartao de Credito,,2023-08-15
TXN_2143187,Smoothie,1,4.0,4.0,,Loja,2023-04-21
TXN_8964522,,3,3.0,9.0,Cartao de Credito,Entrega,2023-10-28
TXN_4088917,Cafe,3,2.0,6.0,Dinheiro,Entrega,2023-02-04
TXN_3779366,Cookie,1,1.0,1.0,Carteira Digital,Loja,2023-04-15
TXN_7724048,Smoothie,1,4.0,4.0,ERRO,Loja,2023-11-12
TXN_2698591,Cha,5,1.5,7.5,,,2023-08-05
TXN_3171373,Smoothie,3,4.0,12.0,Cartao de Credito,Loja,2023-05-10
TXN_4129248,Sanduiche,2,4.0,8.0,Cartao de Credito,,ERRO
TXN_6498163,Smoothie,5,4.0,20.0,,Loja,2023-07-15
TXN_6717827,ERRO,3,5.0,15.0,Carteira Digital,,2023-11-15
TXN_9089898,Salada,3,ERRO,15.0,Cartao de Credito,,2023-01-11
TXN_8587583,Bolo,1,ERRO,3.0,,,2023-10-01
TXN_8693704,Salada,ERRO,5.0,25.0,Dinheiro,Loja,2023-05-04
TXN_3857960,Salada,4,5.0,20.0,Dinheiro,Loja,2023-04-26
TXN_3499124,ERRO,4,4.0,16.0,Cartao de Credito,,2023-08-25
TXN_9250710,Salada,1,5.0,5.0,Dinheiro,Loja,2023-05-28
TXN_7058377,Suco,1,3.0,3.0,,Entrega,2023-04-30
TXN_6766492,Salada,1,5.0,5.0,,ERRO,2023-01-14
TXN_9879996,Cafe,4,2.0,8.0,Carteira Digital,Loja,2023-03-01
TXN_4291940,Bolo,3,3.0,9.0,Cartao de Credito,Loja,2023-11-13
TXN_7433461,Cookie,2,1.0,2.0,Carteira Digital,,2023-07-09
TXN_4068262,Salada,2,5.0,10.0,Cartao de Credito,,2023-05-13
TXN_5761073,Cookie,1,1.0,1.0,Dinheiro,Loja,Nao Sabemos
TXN_5047447,Salada,1,5.0,5.0,Carteira Digital,Entrega,2023-12-27
TXN_6623508,Cookie,5,1.0,5.0,Carteira Digital,Entrega,2023-05-18
TXN_2651216,Nao Sabemos,3,4.0,12.0,,,2023-04-04
TXN_9350833,Bolo,1,Nao Sabemos,3.0,Dinheiro,Entrega,2023-01-17
TXN_8377564,Bolo,5,3.0,15.0,,Loja,2023-07-14
TXN_7031118,Salada,1,5.0,5.0,Cartao de Credito,ERRO,2023-03-29
TXN_2230167,Bolo,4,3.0,12.0,Carteira Digital,Entrega,2023-09-22
TXN_6446616,Cha,3,1.5,4.5,ERRO,,2023-09-30
TXN_1721827,Bolo,4,3.0,12.0,Carteira Digital,ERRO,2023-08-22
TXN_6334895,Smoothie,1,4.0,4.0,Cartao de Credito,ERRO,2023-07-27
TXN_7077119,ERRO,1,4.0,4.0,Carteira Digital,Loja,2023-12-30
TXN_8562645,Salada,ERRO,5.0,Nao Sabemos,,Loja,2023-05-18
TXN_4700144,Cafe,4,2.0,8.0,,Loja,2023-12-21
TXN_5526852,Sanduiche,5,4.0,,Carteira Digital,Loja,2023-09-28
TXN_6846228,Salada,3,,15.0,,Loja,2023-11-16
TXN_8570890,Suco,4,3.0,12.0,,,2023-04-14
TXN_3205009,ERRO,2,1.5,3.0,Dinheiro,Loja,2023-01-03
TXN_3786188,Cha,3,1.5,4.5,Cartao de Credito,Loja,2023-10-20
TXN_4530804,Cafe,4,2.0,8.0,,,2023-01-12
TXN_9642066,Sanduiche,3,4.0,12.0,Cartao de Credito,Loja,2023-08-31
TXN_7328294,Suco,2,3.0,6.0,Dinheiro,,2023-07-07
TXN_1908636,Cha,2,1.5,3.0,,Nao Sabemos,
TXN_9238066,,5,1.5,7.5,Carteira Digital,Loja,2023-09-15
TXN_5415901,Bolo,2,3.0,6.0,Carteira Digital,,2023-10-21
TXN_6714420,ERRO,2,3.0,6.0,Cartao de Credito,Entrega,2023-03-30
TXN_6616971,Suco,2,3.0,6.0,Carteira Digital,Entrega,2023-09-02
TXN_7803615,Salada,3,5.0,15.0,Dinheiro,Loja,2023-12-13
TXN_7549542,Cookie,5,1.0,5.0,,Entrega,
TXN_3544789,Cha,4,1.5,ERRO,Nao Sabemos,Loja,2023-07-14
TXN_1583597,Salada,1,5.0,5.0,Dinheiro,Loja,2023-05-10
TXN_8472308,Cookie,2,1.0,2.0,Carteira Digital,Entrega,2023-08-19
TXN_1967565,Smoothie,5,4.0,20.0,Cartao de Credito,Entrega,2023-03-31
TXN_2029497,Sanduiche,2,4.0,8.0,Dinheiro,Entrega,2023-01-06
TXN_8929774,ERRO,3,3.0,9.0,Dinheiro,,2023-10-02
TXN_5003018,Cookie,4,1.0,Nao Sabemos,Carteira Digital,,Nao Sabemos
TXN_7852990,Sanduiche,5,4.0,20.0,Carteira Digital,Entrega,2023-07-10
TXN_2534066,Salada,2,5.0,10.0,Dinheiro,,2023-10-13
TXN_2059647,Cha,1,1.5,1.5,Carteira Digital,Loja,2023-05-29
TXN_2485183,Smoothie,5,4.0,20.0,Dinheiro,Loja,2023-07-07
TXN_7374846,Sanduiche,1,4.0,4.0,Cartao de Credito,Nao Sabemos,2023-05-29
TXN_9401522,Sanduiche,4,4.0,16.0,Carteira Digital,Loja,2023-11-16
TXN_8250651,Sanduiche,4,4.0,16.0,Carteira Digital,Loja,2023-03-13
TXN_7191245,Bolo,4,3.0,12.0,,Entrega,2023-05-22
TXN_8982764,Bolo,5,3.0,15.0,Carteira Digital,Entrega,2023-11-23
TXN_8669422,,4,3.0,12.0,Dinheiro,Entrega,2023-10-15
TXN_1153869,Smoothie,5,4.0,20.0,Cartao de Credito,Entrega,2023-11-03
TXN_5043774,Sanduiche,3,4.0,12.0,Dinheiro,,2023-06-08
TXN_1746320,Salada,1,5.0,5.0,Dinheiro,,2023-11-14
TXN_1077129,Cookie,1,1.0,1.0,,Loja,2023-09-12
TXN_4865338,Sanduiche,Nao Sabemos,4.0,16.0,,Loja,2023-11-26
TXN_5616583,Smoothie,1,4.0,4.0,,,2023-10-13
TXN_2078474,Cookie,2,1.0,2.0,,Entrega,2023-11-03
TXN_2130245,Smoothie,5,4.0,20.0,Cartao de Credito,,2023-11-13
TXN_3229409,Suco,Nao Sabemos,3.0,Nao Sabemos,Dinheiro,Entrega,2023-04-15
TXN_9076216,Bolo,1,3.0,3.0,Dinheiro,,2023-12-17
TXN_6371987,Cha,5,1.5,ERRO,Nao Sabemos,Entrega,2023-03-13
TXN_9913877,ERRO,2,2.0,4.0,Cartao de Credito,,2023-05-09
TXN_2084377,Smoothie,1,4.0,4.0,Cartao de Credito,ERRO,2023-10-22
TXN_1842675,ERRO,4,1.0,4.0,Cartao de Credito,Entrega,2023-06-23
TXN_8605813,Cookie,1,1.0,1.0,,,2023-06-30
TXN_9755352,Sanduiche,5,4.0,20.0,,Loja,2023-05-13
TXN_7550498,Suco,5,3.0,15.0,,Loja,ERRO
TXN_2305908,Cafe,Nao Sabemos,2.0,8.0,Dinheiro,,2023-04-25
TXN_6953697,Nao Sabemos,3,4.0,12.0,,Entrega,2023-05-27
TXN_3495950,,4,ERRO,6.0,Cartao de Credito,Loja,2023-02-19
TXN_7557340,Cha,5,1.5,7.5,Cartao de Credito,Loja,2023-12-11
TXN_1157817,Smoothie,1,4.0,4.0,Carteira Digital,Loja,2023-04-25
TXN_2020318,Cha,3,1.5,4.5,Carteira Digital,Loja,2023-10-12
TXN_8692094,Cafe,5,2.0,10.0,,Entrega,2023-08-30
TXN_5307411,Bolo,3,3.0,ERRO,Carteira Digital,Entrega,2023-10-21
TXN_9703120,Cafe,3,2.0,6.0,Cartao de Credito,,2023-11-02
TXN_1289133,Suco,1,3.0,3.0,Dinheiro,Nao Sabemos,2023-09-19
TXN_2031459,Bolo,3,3.0,9.0,Dinheiro,Entrega,2023-07-04
TXN_1333682,Smoothie,1,4.0,4.0,Carteira Digital,,2023-01-28
TXN_2256622,Cookie,2,,2.0,Dinheiro,Loja,2023-10-04
TXN_1623966,Cha,2,1.5,3.0,Dinheiro,Entrega,Nao Sabemos
TXN_4912930,Smoothie,3,4.0,12.0,Cartao de Credito,Loja,2023-02-26
TXN_4942692,Cafe,2,2.0,4.0,,Entrega,2023-01-15
TXN_3723007,Cha,3,1.5,4.5,Carteira Digital,Loja,2023-05-18
TXN_7922392,Sanduiche,3,4.0,12.0,,,2023-05-03
TXN_7498727,Salada,3,5.0,15.0,Dinheiro,,2023-11-06
TXN_1222338,Cookie,1,1.0,1.0,,Loja,2023-10-11
TXN_6878866,Smoothie,3,4.0,12.0,Cartao de Credito,,2023-02-25
TXN_1260335,Cookie,4,1.0,4.0,Carteira Digital,Loja,
TXN_9223242,Smoothie,2,4.0,8.0,,,2023-09-10
TXN_6244211,Smoothie,2,4.0,8.0,,,2023-08-11
TXN_5446858,,1,1.0,1.0,Dinheiro,Loja,2023-11-07
TXN_4612864,Cha,3,1.5,4.5,,,2023-02-14
TXN_5411381,Cookie,ERRO,1.0,1.0,,,2023-04-28
TXN_3047598,Cookie,1,1.0,1.0,,,2023-09-06
TXN_5754317,Cafe,2,,4.0,Cartao de Credito,Entrega,2023-01-10
TXN_7496926,Sanduiche,3,4.0,12.0,ERRO,Loja,2023-04-23
TXN_1726858,Smoothie,3,4.0,12.0,Dinheiro,Loja,
TXN_7559388,Salada,4,5.0,20.0,Carteira Digital,Entrega,2023-02-26
TXN_8540499,Cookie,3,1.0,3.0,Dinheiro,Loja,2023-01-22
TXN_4225756,Cookie,3,1.0,3.0,,Loja,2023-03-10
TXN_6795640,Cookie,4,1.0,4.0,Carteira Digital,Entrega,2023-01-28
TXN_6702428,Cafe,5,2.0,10.0,Dinheiro,Entrega,2023-08-11
TXN_8955259,ERRO,2,4.0,8.0,Cartao de Credito,,2023-11-18
TXN_4639319,Cafe,5,2.0,10.0,Dinheiro,,2023-01-09
TXN_5997803,Cafe,5,2.0,10.0,,Loja,2023-12-03
TXN_1340956,ERRO,4,2.0,8.0,,,2023-10-26
TXN_1259671,Sanduiche,Nao Sabemos,4.0,12.0,Carteira Digital,Loja,2023-10-08
TXN_8319993,Suco,1,3.0,3.0,Carteira Digital,,2023-08-06
TXN_8894157,Sanduiche,4,4.0,16.0,Cartao de Credito,,ERRO
TXN_5523450,Salada,5,5.0,25.0,Cartao de Credito,Entrega,2023-07-02
TXN_7838964,Sanduiche,3,4.0,12.0,Cartao de Credito,Loja,2023-06-15
TXN_2773987,Smoothie,5,4.0,20.0,ERRO,,2023-01-11
TXN_1158829,Cha,1,Nao Sabemos,1.5,Cartao de Credito,,2023-10-02
TXN_2523298,,4,,6.0,ERRO,Loja,2023-03-25
TXN_8685737,Smoothie,2,4.0,8.0,,Loja,2023-11-02
TXN_5634135,Cookie,2,Nao Sabemos,2.0,,ERRO,2023-01-27
TXN_1524626,Smoothie,2,4.0,8.0,Carteira Digital,,2023-12-29
TXN_7275407,Smoothie,2,4.0,8.0,Carteira Digital,Loja,2023-10-20
TXN_2889622,Suco,4,3.0,12.0,Cartao de Credito,,2023-11-01
TXN_6849113,Cookie,ERRO,1.0,1.0,Cartao de Credito,,2023-07-14
TXN_2265316,Cookie,,1.0,3.0,Cartao de Credito,Loja,2023-12-29
TXN_9472241,Salada,3,5.0,15.0,Dinheiro,Entrega,2023-06-30
TXN_7345414,Salada,1,,5.0,,Nao Sabemos,2023-02-15
TXN_4473352,Bolo,1,3.0,3.0,Nao Sabemos,Loja,2023-11-16
TXN_2814363,Cha,2,1.5,3.0,,,2023-07-02
TXN_1846004,Suco,3,3.0,9.0,Dinheiro,Loja,2023-05-21
TXN_7140471,Bolo,1,3.0,3.0,Cartao de Credito,,2023-05-25
TXN_3119542,Smoothie,1,4.0,4.0,Cartao de Credito,,2023-10-31
TXN_7773968,Sanduiche,5,4.0,20.0,Carteira Digital,Entrega,2023-02-24
TXN_9081088,Cha,2,1.5,3.0,Dinheiro,Entrega,2023-02-27
